numeros,articles,titre,persee_id,auteurlabel,personne_idLabel,year_of_birth,year_of_death,sex_or_genderLabel
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3188#Web,Sauter ou marquer l'étape ? Réflexions sur la modernisation des cultures marocaines,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3190#Web,Au cœur de la grande aventure soviétique : les combinats ouralo-sibériens et l'avenir industriel de l'U.R.S.S.,228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_1_3192#Web,I. - L'homme ou le rendement,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3195#Web,L'essor des États-Unis et l'économie d'après guerre,265621,Jean Gottmann,Jean Gottmann,1915,1994,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3196#Web,Une industrie motrice : la haute couture parisienne et son évolution,82174,Marcel Rouff,Marcel Rouff,1877,1936,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3198#Web,""" Sciences-Po "" : une justice - et un parallèle",29696,Charles Morazé,Charles Morazé,1913,2003,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3200#Web,Fils de riches ou nouveaux riches ?,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3201#Web,Un feuilleton ou comment vulgariser l'Histoire,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3203#Web,"Histoire des idées, histoire des sociétés. Une question de climat",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3204#Web,La propriété au XVIIIe siècle. Une source méconnue : le contrôle des actes et centième denier,8815,Pierre De Saint-Jacob,Pierre de Saint-Jacob,1906,1960,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3205#Web,La France qui se vide et du rôle de la route dans ce vide,247538,Robert-Henri Bautier,Robert-Henri Bautier,1922,2010,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3206#Web,Une capitale de la laine : Leyde,220365,Émile Coornaert,Émile Coornaert,1886,1980,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3207#Web,Esquisses de sociologie française : deux villages du Jura,79886,Marc Berthet,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3208#Web,Problèmes de guerre : un commentaire de Lénine sur Clausewitz,82176,Paul Nicolle,Paul Nicolle,1884,1951,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3210#Web,I. Une mort : le chanoine Chaume,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3211#Web,"II. Achèvements, créations, rééditions",238117,Paul Leuilliot,Paul Leuilliot,1897,1987,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3211#Web,"II. Achèvements, créations, rééditions",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3212#Web,III. En France,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3212#Web,III. En France,238117,Paul Leuilliot,Paul Leuilliot,1897,1987,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3212#Web,III. En France,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3212#Web,III. En France,318295,Jean Bourdon,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3213#Web,IV. Hors de France,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_2_3363#Web,Les origines du patriciat urbain. Henri Pirenne s'est-il trompé ?,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3215#Web,Croisade et marchandise. Pourquoi Simon de Montfort s'en alla défaire les albigeois,398414,André Varagnac,André Varagnac,1894,1983,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3216#Web,Rythmes du monde. Les accords économiques internationaux depuis 1860,82178,Gilles Curien,Gilles Curien,1922,2017,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3218#Web,Mystique du panjaponisme. Un « Mein Kampf » nippon,82179,Louis Marchand,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3220#Web,"À la lueur de l'expérience : l'école rurale, grave problème",82180,A.-V. Jacquet,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3222#Web,Comment les normands s'assuraient contre les mutations de monnaie,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3223#Web,Du fédéralisme et de Proudhon,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3224#Web,"Cette nouvelle venue, la géographie sociale",257145,Abel Chatelain,Abel Chatelain,1910,1970,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3225#Web,Que la France se nomme diversité. À propos de quelques études jurassiennes,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3226#Web,Sur une histoire du cinéma,228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0278_0000_1#Web,Trouvailles en Italie,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0279_0000_3#Web,"H. Van Werweke, Bruges et Anvers : huit siècles de commerce flamand",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0280_0000_2#Web,"Eileen Power, The Wool Trade in British Medieval History",283305,Philippe Wolff,Philippe Wolff,1913,2001,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0282_0000_2#Web,"A. Roubaud, Paix Armée (1871-1914)",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0285_0000_2#Web,Comment se fabrique un oracle : la prophétie de sainte Odile,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0286_0000_2#Web,"Gérard Walter, Robespierre",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0287_0000_2#Web,"Paul Chauvet, 1789, l'Insurrection parisienne et la prise de la Bastille",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_3#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_3_3227_t1_0287_0000_3#Web,Divers,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3235#Web,"Réflexions sur un équilibre démographique. Beaucoup de naissances, beaucoup de morts ; peu d'enfants, peu de décès",78003,Maurice Halbwachs,Maurice Halbwachs,1877,1945,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3236#Web,"Exégèse de désastre. Iéna, la crise de l'état prussien et la genèse du romantisme",255403,Henri Brunschwig,Henri Brunschwig,1904,1989,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3238#Web,Évocation du Nébraska,79829,Marc-André Béra,Marc-André Béra,1914,1990,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3239#Web,"Procès à reviser ? Louis XI, la noblesse et la marchandise",283546,Gaston Zeller,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3241#Web,La notion d'exploitation agricole familiale. L'exemple de la Limagne,82204,Pierre Courtin,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3243#Web,Comment on faisait un canal au XVIIIe siècle. Le canal de Briare,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3244#Web,Une sociologie de la pratique religieuse,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3245#Web,Psychologie de peuples et de meneurs de peuples,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3247#Web,"II. Prix, monnaies, courbe",275656,Marc Bloch,Marc Bloch,1886,1944,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3249#Web,Les travaux d'histoire économique aux États-Unis pendant la guerre,82206,Herbert Heaton,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3250#Web,Comptes rendus divers,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1946_num_1_4#Web,http://data.persee.fr/doc/ahess_0395-2649_1946_num_1_4_3251#Web,Sir John Clapham,283305,Philippe Wolff,Philippe Wolff,1913,2001,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3253#Web,Au bout d'un an,228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3253#Web,Au bout d'un an,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3253#Web,Au bout d'un an,29696,Charles Morazé,Charles Morazé,1913,2003,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3253#Web,Au bout d'un an,48458,Fernand Braudel,Fernand Braudel,1902,1985,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3255#Web,Éducation nazie et civilisation autrichienne,82210,Gilbert Gadoffre,Gilbert Gadoffre,1911,1995,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3256#Web,De la Constituante à Napoléon. Les vicissitudes de l'impôt indirect,31113,Robert Schnerb,Robert Schnerb,1900,1962,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3257#Web,Comment et pourquoi finit l'esclavage antique,275656,Marc Bloch,Marc Bloch,1886,1944,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3259#Web,"Leibniz, Spinoza et le problème de l'incroyance au XVIIe siècle",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3260#Web,Recherches et enquêtes démogéographiques : les migrations françaises vers le Nouveau Monde aux XIXe et XXe siècles,257145,Abel Chatelain,Abel Chatelain,1910,1970,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3262#Web,La paix de 1919 a-t-elle engendré la guerre de 1940 ?,82211,Etienne Mantoux,Étienne Mantoux,1913,1945,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3263#Web,Économie et réalité,29696,Charles Morazé,Charles Morazé,1913,2003,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3265#Web,II y a dîme et dîme,79980,Bernard Berthet,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3266#Web,"Un travailleur, un homme",228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3267#Web,"Jules Siegfried : un homme, une époque",274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3268#Web,Problèmes d'orientation,228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3269#Web,Questions d'histoire agraire : survivances de pratiques communautaires dans l'agriculture limousine,240768,Antoine Perrier,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3270#Web,Structure agraire et remembrement : à quoi servent nos études ?,257143,André Meynier,André Meynier,1901,1983,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3271#Web,La vie rurale en France,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3272#Web,Les publications anglaises d'histoire économique et sociale de 1940 à 1944,82213,Réginald Lennard,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3274_t1_0117_0000_2#Web,"E. de Moreau, Histoire de l'Église en Belgique, tome III, L'Eglise féodale, 1132-1З78",397001,Jean Lestocquoy,Jean Lestocquoy,1903,1974,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3275_t1_0119_0000_3#Web,"André Rémond, John Holker",79829,Marc-André Béra,Marc-André Béra,1914,1990,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_1#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_1_3276_t1_0120_0000_2#Web,Études Britanniques,79829,Marc-André Béra,Marc-André Béra,1914,1990,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3279#Web,Misère et banditisme au XVIe siècle,48458,Fernand Braudel,Fernand Braudel,1902,1985,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3280#Web,Les bases monétaires d'une suprématie économique : l'or musulman du VIIe au XIe siècle,29880,Maurice Lombard,Maurice Lombard,1904,1965,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3281#Web,Comment et pourquoi finit l'esclavage antique (fin),275656,Marc Bloch,Marc Bloch,1886,1944,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3283#Web,Économie ou économies brésiliennes,257003,Pierre Monbeig,Pierre Monbeig,1908,1987,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3284#Web,Les sondages d'opinion aux États-Unis,228012,Georges Friedmann,Georges Friedmann,1902,1977,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3285#Web,Le gisement d'hydrocarbures de Saint-Gaudens,82214,Laurent Capdecomme,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3286#Web,Louis XI et ses réformes sociales,363918,René Gandilhon,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3287#Web,Liberté et prospérité,82215,André Silbert,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3288#Web,Sur les cartels internationaux,82178,Gilles Curien,Gilles Curien,1922,2017,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3289#Web,«English Saga» ou histoire de l'Angleterre contemporaine,79805,Marc Pierre de Voyer d' Argenson,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3290#Web,L'épanouissement industriel de Venise au XVIe siècle,48458,Fernand Braudel,Fernand Braudel,1902,1985,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3290#Web,L'épanouissement industriel de Venise au XVIe siècle,82216,Pierre Sardella,no value,????,????,no value
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3292#Web,À un critique ami : à propos de Simon de Montfort,29696,Charles Morazé,Charles Morazé,1913,2003,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3294#Web,Limites et frontières,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0208_0000_3#Web,"M. R. Aubenas, Les chartes de franchise et actes d'habitation, in Documents, textes et mémoires pour servir à l'histoire de Cannes et de sa région, fasc. 1, collection dirigée par M. Hubert Dhumez",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0209_0000_3#Web,"Yvonne Labbé, Les débuts d'une ville bretonne : Vitré",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0211_0000_4#Web,"A. Rigault, Les anciens privilèges du bourg royal de Fontainebleau",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0212_0000_4#Web,"P. Rolland, Tournai, noble cité",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0213_0000_3#Web,"M. de Sars, Noyon à travers l'histoire et La petite histoire de Saint-Quentin",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0215_0000_3#Web,"P. Pinneau, Auxerre historique et pittoresque et Fr. Bitton, L'histoire de la ville de Sens",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0216_0000_4#Web,"M. de Sars, Les hôpitaux de Roye depuis le XIIIe siècle",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0217_0000_4#Web,Monographies rurales,196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3296_t1_0220_0000_4#Web,"M. F.-L. Ganshof, Pages d'Histoire",196707,Georges Espinas,Georges Espinas,1869,1948,masculin
http://data.persee.fr/issue/ahess_0395-2649_1947_num_2_2#Web,http://data.persee.fr/doc/ahess_0395-2649_1947_num_2_2_3297_t1_0222_0000_1#Web,Ce que c'est que l'histoire ou : de la Culture des Français cultivés en 1947,274943,Lucien Febvre,Lucien Febvre,1878,1956,masculin
